"No.","Time","Source","Destination","Protocol","Length","Info"
"135","08:34:42.705467","131.180.190.46","131.180.164.100","TCP","1514","1947  >  49518 [ACK] Seq=1 Ack=928 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"136","08:34:42.705467","131.180.190.46","131.180.164.100","TCP","1514","1947  >  49518 [ACK] Seq=1461 Ack=928 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"137","08:34:42.705467","131.180.190.46","131.180.164.100","TCP","1514","1947  >  49518 [ACK] Seq=2921 Ack=928 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"138","08:34:42.705467","131.180.190.46","131.180.164.100","HTTP","1315","HTTP/1.1 200 OK  (text/plain)"
"139","08:34:42.705567","131.180.164.100","131.180.190.46","TCP","54","49518  >  1947 [ACK] Seq=928 Ack=5642 Win=262656 Len=0"
"140","08:34:42.705762","131.180.190.46","131.180.164.100","TCP","60","1947  >  49518 [FIN, ACK] Seq=5642 Ack=928 Win=65536 Len=0"
"141","08:34:42.705804","131.180.164.100","131.180.190.46","TCP","54","49518  >  1947 [ACK] Seq=928 Ack=5643 Win=262656 Len=0"
"142","08:34:42.706613","131.180.164.100","131.180.190.46","TCP","54","49518  >  1947 [FIN, ACK] Seq=928 Ack=5643 Win=262656 Len=0"
"143","08:34:42.707051","131.180.190.46","131.180.164.100","TCP","60","1947  >  49518 [ACK] Seq=5643 Ack=929 Win=65536 Len=0"
"144","08:34:42.707277","131.180.164.100","131.180.161.69","TCP","66","49519  >  1947 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"145","08:34:42.708343","131.180.161.69","131.180.164.100","TCP","66","1947  >  49519 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"146","08:34:42.708444","131.180.164.100","131.180.161.69","TCP","54","49519  >  1947 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"147","08:34:42.708571","131.180.164.100","131.180.161.69","HTTP","981","POST /api HTTP/1.1  (text/plain)"
"148","08:34:42.708786","131.180.164.81","224.0.1.129","PTPv2","86","Sync Message"
"149","08:34:42.708874","131.180.164.81","224.0.1.129","PTPv2","86","Follow_Up Message"
"150","08:34:42.709381","131.180.161.69","131.180.164.100","TCP","1514","1947  >  49519 [ACK] Seq=1 Ack=928 Win=131328 Len=1460 [TCP segment of a reassembled PDU]"
"151","08:34:42.709381","131.180.161.69","131.180.164.100","TCP","1514","1947  >  49519 [ACK] Seq=1461 Ack=928 Win=131328 Len=1460 [TCP segment of a reassembled PDU]"
"152","08:34:42.709381","131.180.161.69","131.180.164.100","HTTP","1367","HTTP/1.1 200 OK  (text/plain)"
"153","08:34:42.709381","131.180.161.69","131.180.164.100","TCP","60","1947  >  49519 [FIN, ACK] Seq=4234 Ack=928 Win=131328 Len=0"
"154","08:34:42.709483","131.180.164.100","131.180.161.69","TCP","54","49519  >  1947 [ACK] Seq=928 Ack=4235 Win=262656 Len=0"
"155","08:34:42.710262","131.180.164.100","131.180.161.69","TCP","54","49519  >  1947 [FIN, ACK] Seq=928 Ack=4235 Win=262656 Len=0"
"156","08:34:42.710599","131.180.161.69","131.180.164.100","TCP","60","1947  >  49519 [ACK] Seq=4235 Ack=929 Win=131328 Len=0"
"157","08:34:42.711133","131.180.164.100","131.180.161.99","TCP","66","49520  >  1947 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"158","08:34:42.711908","131.180.161.99","131.180.164.100","TCP","66","1947  >  49520 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"159","08:34:42.712012","131.180.164.100","131.180.161.99","TCP","54","49520  >  1947 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"160","08:34:42.712125","131.180.164.100","131.180.161.99","HTTP","981","POST /api HTTP/1.1  (text/plain)"
"161","08:34:42.713380","131.180.161.99","131.180.164.100","TCP","1514","1947  >  49520 [ACK] Seq=1 Ack=928 Win=131328 Len=1460 [TCP segment of a reassembled PDU]"
"162","08:34:42.713380","131.180.161.99","131.180.164.100","TCP","1514","1947  >  49520 [ACK] Seq=1461 Ack=928 Win=131328 Len=1460 [TCP segment of a reassembled PDU]"
"163","08:34:42.713380","131.180.161.99","131.180.164.100","TCP","1514","1947  >  49520 [ACK] Seq=2921 Ack=928 Win=131328 Len=1460 [TCP segment of a reassembled PDU]"
"164","08:34:42.713380","131.180.161.99","131.180.164.100","TCP","1514","1947  >  49520 [ACK] Seq=4381 Ack=928 Win=131328 Len=1460 [TCP segment of a reassembled PDU]"
"165","08:34:42.713467","131.180.164.100","131.180.161.99","TCP","54","49520  >  1947 [ACK] Seq=928 Ack=5841 Win=262656 Len=0"
"166","08:34:42.714029","131.180.161.99","131.180.164.100","TCP","1514","1947  >  49520 [ACK] Seq=5841 Ack=928 Win=131328 Len=1460 [TCP segment of a reassembled PDU]"
"167","08:34:42.714029","131.180.161.99","131.180.164.100","TCP","1514","1947  >  49520 [ACK] Seq=7301 Ack=928 Win=131328 Len=1460 [TCP segment of a reassembled PDU]"
"168","08:34:42.714029","131.180.161.99","131.180.164.100","TCP","1514","1947  >  49520 [ACK] Seq=8761 Ack=928 Win=131328 Len=1460 [TCP segment of a reassembled PDU]"
"169","08:34:42.714029","131.180.161.99","131.180.164.100","TCP","1514","1947  >  49520 [ACK] Seq=10221 Ack=928 Win=131328 Len=1460 [TCP segment of a reassembled PDU]"
"170","08:34:42.714029","131.180.161.99","131.180.164.100","TCP","1514","1947  >  49520 [ACK] Seq=11681 Ack=928 Win=131328 Len=1460 [TCP segment of a reassembled PDU]"
"171","08:34:42.714029","131.180.161.99","131.180.164.100","TCP","1514","1947  >  49520 [ACK] Seq=13141 Ack=928 Win=131328 Len=1460 [TCP segment of a reassembled PDU]"
"172","08:34:42.714029","131.180.161.99","131.180.164.100","TCP","1514","1947  >  49520 [ACK] Seq=14601 Ack=928 Win=131328 Len=1460 [TCP segment of a reassembled PDU]"
"173","08:34:42.714029","131.180.161.99","131.180.164.100","TCP","1514","1947  >  49520 [ACK] Seq=16061 Ack=928 Win=131328 Len=1460 [TCP segment of a reassembled PDU]"
"174","08:34:42.714140","131.180.164.100","131.180.161.99","TCP","54","49520  >  1947 [ACK] Seq=928 Ack=17521 Win=262656 Len=0"
"175","08:34:42.714659","131.180.161.99","131.180.164.100","HTTP","84","HTTP/1.1 200 OK  (text/plain)"
