"No.","Time","Source","Destination","Protocol","Length","Info"
"92","4.854628503","100.0.0.11","100.7.0.11","TCP","66","45964  >  991 [ACK] Seq=1 Ack=221 Win=83 Len=0 TSval=3969656817 TSecr=605244613"
"93","5.014807258","100.7.0.12","100.0.0.11","TCP","132","991  >  59390 [PSH, ACK] Seq=265 Ack=1 Win=85 Len=66 TSval=3935661437 TSecr=2228709052"
"94","5.014824201","100.0.0.11","100.7.0.12","TCP","66","59390  >  991 [ACK] Seq=1 Ack=331 Win=83 Len=0 TSval=2228710144 TSecr=3935661437"
"95","5.118082132","100.7.0.20","100.0.0.11","TCP","124","991  >  60272 [PSH, ACK] Seq=233 Ack=1 Win=85 Len=58 TSval=3605656524 TSecr=3845575422"
"96","5.118108763","100.0.0.11","100.7.0.20","TCP","66","60272  >  991 [ACK] Seq=1 Ack=291 Win=83 Len=0 TSval=3845576478 TSecr=3605656524"
"97","5.237153033","100.7.0.18","100.0.0.11","TCP","124","991  >  33564 [PSH, ACK] Seq=291 Ack=1 Win=85 Len=58 TSval=4184666230 TSecr=1493873293"
"98","5.237171382","100.0.0.11","100.7.0.18","TCP","66","33564  >  991 [ACK] Seq=1 Ack=349 Win=83 Len=0 TSval=1493874330 TSecr=4184666230"
"99","5.298723871","100.7.0.15","100.0.0.11","TCP","96","991  >  40760 [PSH, ACK] Seq=151 Ack=1 Win=85 Len=30 TSval=1348064083 TSecr=2008832616"
"100","5.298742253","100.0.0.11","100.7.0.15","TCP","66","40760  >  991 [ACK] Seq=1 Ack=181 Win=83 Len=0 TSval=2008833628 TSecr=1348064083"
"101","5.312377183","100.7.0.16","100.0.0.11","TCP","116","991  >  41610 [PSH, ACK] Seq=251 Ack=1 Win=85 Len=50 TSval=11419224 TSecr=220209791"
"102","5.312394170","100.0.0.11","100.7.0.16","TCP","66","41610  >  991 [ACK] Seq=1 Ack=301 Win=83 Len=0 TSval=220210829 TSecr=11419224"
"103","5.393947073","100.7.0.19","100.0.0.11","TCP","96","991  >  50984 [PSH, ACK] Seq=151 Ack=1 Win=85 Len=30 TSval=2873889458 TSecr=2678131112"
"104","5.393965090","100.0.0.11","100.7.0.19","TCP","66","50984  >  991 [ACK] Seq=1 Ack=181 Win=83 Len=0 TSval=2678132130 TSecr=2873889458"
"105","5.496206621","100.7.0.13","100.0.0.11","TCP","132","991  >  47728 [PSH, ACK] Seq=265 Ack=1 Win=85 Len=66 TSval=3812962691 TSecr=2374082955"
"106","5.496223723","100.0.0.11","100.7.0.13","TCP","66","47728  >  991 [ACK] Seq=1 Ack=331 Win=83 Len=0 TSval=2374084204 TSecr=3812962691"
"107","5.547478894","100.7.0.14","100.0.0.11","TCP","126","991  >  34836 [PSH, ACK] Seq=241 Ack=1 Win=85 Len=60 TSval=2717860066 TSecr=3576440307"
"108","5.547496585","100.0.0.11","100.7.0.14","TCP","66","34836  >  991 [ACK] Seq=1 Ack=301 Win=83 Len=0 TSval=3576441425 TSecr=2717860066"
"109","5.785384712","100.7.0.17","100.0.0.11","TCP","106","991  >  60614 [PSH, ACK] Seq=201 Ack=1 Win=85 Len=40 TSval=1173216859 TSecr=2185429317"
"110","5.785405105","100.0.0.11","100.7.0.17","TCP","66","60614  >  991 [ACK] Seq=1 Ack=241 Win=83 Len=0 TSval=2185430432 TSecr=1173216859"
"111","5.933557217","100.7.0.11","100.0.0.11","TCP","110","991  >  45964 [PSH, ACK] Seq=221 Ack=1 Win=85 Len=44 TSval=605245692 TSecr=3969656817"
"112","5.933575853","100.0.0.11","100.7.0.11","TCP","66","45964  >  991 [ACK] Seq=1 Ack=265 Win=83 Len=0 TSval=3969657896 TSecr=605245692"
"113","6.145671646","100.7.0.20","100.0.0.11","TCP","124","991  >  60272 [PSH, ACK] Seq=291 Ack=1 Win=85 Len=58 TSval=3605657551 TSecr=3845576478"
"114","6.145692108","100.0.0.11","100.7.0.20","TCP","66","60272  >  991 [ACK] Seq=1 Ack=349 Win=83 Len=0 TSval=3845577505 TSecr=3605657551"
"115","6.186825944","100.7.0.12","100.0.0.11","TCP","132","991  >  59390 [PSH, ACK] Seq=331 Ack=1 Win=85 Len=66 TSval=3935662609 TSecr=2228710144"
"116","6.186846627","100.0.0.11","100.7.0.12","TCP","66","59390  >  991 [ACK] Seq=1 Ack=397 Win=83 Len=0 TSval=2228711316 TSecr=3935662609"
"117","6.307268056","100.7.0.15","100.0.0.11","TCP","96","991  >  40760 [PSH, ACK] Seq=181 Ack=1 Win=85 Len=30 TSval=1348065092 TSecr=2008833628"
"118","6.307286861","100.0.0.11","100.7.0.15","TCP","66","40760  >  991 [ACK] Seq=1 Ack=211 Win=83 Len=0 TSval=2008834637 TSecr=1348065092"
"119","6.325198765","100.7.0.18","100.0.0.11","TCP","124","991  >  33564 [PSH, ACK] Seq=349 Ack=1 Win=85 Len=58 TSval=4184667318 TSecr=1493874330"
"120","6.325216844","100.0.0.11","100.7.0.18","TCP","66","33564  >  991 [ACK] Seq=1 Ack=407 Win=83 Len=0 TSval=1493875418 TSecr=4184667318"
"121","6.406671565","100.7.0.16","100.0.0.11","TCP","116","991  >  41610 [PSH, ACK] Seq=301 Ack=1 Win=85 Len=50 TSval=11420318 TSecr=220210829"
"122","6.406690407","100.0.0.11","100.7.0.16","TCP","66","41610  >  991 [ACK] Seq=1 Ack=351 Win=83 Len=0 TSval=220211923 TSecr=11420318"
"123","6.412799045","100.7.0.19","100.0.0.11","TCP","96","991  >  50984 [PSH, ACK] Seq=181 Ack=1 Win=85 Len=30 TSval=2873890476 TSecr=2678132130"
"124","6.412814700","100.0.0.11","100.7.0.19","TCP","66","50984  >  991 [ACK] Seq=1 Ack=211 Win=83 Len=0 TSval=2678133148 TSecr=2873890476"
"125","6.555336638","100.7.0.13","100.0.0.11","TCP","132","991  >  47728 [PSH, ACK] Seq=331 Ack=1 Win=85 Len=66 TSval=3812963750 TSecr=2374084204"
